City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
545,Abu Zabad,SD,81.99,overcast clouds,12.35,29.25,حامد محمد نور
546,Nova Olinda Do Norte,BR,80.89,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
547,Sassandra,CI,75.36,light rain,4.95,-6.0833,la terrasse
549,Weligama,LK,79.52,scattered clouds,5.9667,80.4167,Weligama Bay Resort
552,Iberia,US,87.12,scattered clouds,29.9502,-91.7507,back to back rv park
553,Gopalpur,IN,85.42,overcast clouds,19.2667,84.9167,Gopalpur Palm Resort
556,Leticia,CO,78.62,broken clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
562,Grand-Lahou,CI,77.45,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
563,Omboue,GA,75.38,few clouds,-1.5746,9.2618,Hotel Olako
565,Segou,ML,86.23,overcast clouds,13.4317,-6.2157,Comme chez soi
567,Nova Olimpia,BR,82.24,clear sky,-14.7972,-57.2881,Motel glamour
568,Norrtalje,SE,72.07,few clouds,59.758,18.705,Norrtälje Vandrarhem Hvilan
569,Yangambi,CD,73.65,overcast clouds,0.8102,24.4336,
571,Buchanan,LR,76.96,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
574,Teseney,ER,87.12,overcast clouds,15.11,36.6575,Sabrin Hotel
576,Banjar,ID,78.66,scattered clouds,-8.19,114.9675,The Hamsa Resort
578,Iranshahr,IR,88.47,clear sky,27.2025,60.6848,پلکه بزرگ
579,Hun,LY,87.31,clear sky,29.1268,15.9477,Alrwasi Hotel
580,Wawa,NG,79.38,light rain,9.9022,4.4192,
582,Muli,MV,82.8,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
590,Mantua,IT,81.64,broken clouds,45.1667,10.7833,Hotel la Favorita
592,Fare,PF,79.81,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
595,Dayong,CN,79.41,light rain,25.0209,118.2898,Haiyue Express Hotel
596,Cayenne,GF,84.2,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
597,Juba,SS,70.41,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
598,Pedro Leopoldo,BR,72.59,scattered clouds,-19.6181,-44.0431,JJ Imoveis PL
599,Shache,CN,74.28,overcast clouds,38.4167,77.2406,Delong Hotel
601,Machico,PT,70.72,scattered clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
602,College,US,72.0,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
603,Policoro,IT,82.89,few clouds,40.2115,16.6726,Hotel Hermes
604,Havelock,US,84.06,overcast clouds,34.8791,-76.9013,Sherwood Motel
605,Loma Bonita,PA,79.79,broken clouds,8.3833,-80.1667,Posada Acuarela Farallón (Panamá)
606,Bodhan,IN,81.61,overcast clouds,18.6667,77.9,NOOR RESIDENCY
608,Palmer,US,88.63,scattered clouds,42.1584,-72.3287,Wedgewood Motel
615,Nyurba,RU,70.16,broken clouds,63.2842,118.3319,Gostinitsa Alrosa
617,Noumea,NC,71.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
618,Kudahuvadhoo,MV,82.6,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
619,Tumpat,MY,75.78,overcast clouds,6.1978,102.171,Baan Tanyong B&B
623,Lobito,AO,72.03,clear sky,-12.3481,13.5456,Casa Rosa Hotel Residence
624,Suruc,TR,79.0,clear sky,36.9761,38.425,PEHLİVANKESMESİ KÖYÜ
628,La Asuncion,VE,81.07,broken clouds,11.0333,-63.8628,Colinas de Matasiete
631,Kesinga,IN,80.74,broken clouds,20.2,83.2333,HOTEL JAYASHREE
633,Tual,ID,80.8,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
637,Mayumba,GA,74.46,few clouds,-3.432,10.6554,LIKWALE LODGE
638,Iturama,BR,73.15,few clouds,-19.7281,-50.1956,República DominaCana
639,Luganville,VU,78.51,broken clouds,-15.5333,167.1667,The Espiritu Hotel
641,Kismayo,SO,76.08,overcast clouds,-0.3582,42.5454,Agan-Hotel
645,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
650,Pokhara,NP,70.47,overcast clouds,28.2333,83.9833,Butterfly Lodge
651,Carauari,BR,76.84,overcast clouds,-4.8828,-66.8958,Hotel Fellip
653,Aswan,EG,89.73,clear sky,24.0934,32.907,Nuba Nile
657,Sao Jose De Ribamar,BR,84.58,clear sky,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
667,Kropotkin,RU,72.05,broken clouds,45.4375,40.5756,Hotel Europe Kropotkin
670,Axim,GH,76.66,moderate rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
672,Manzanillo,CU,87.67,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
673,Jacareacanga,BR,82.67,broken clouds,-6.2222,-57.7528,Casa do Ian😎
674,Nhulunbuy,AU,72.21,clear sky,-12.2333,136.7667,East Arnhem Real Estate
675,Shimoda,JP,73.17,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
677,Kodinar,IN,83.16,few clouds,20.7903,70.7031,residency of N.B vadhel
680,Islahiye,TR,73.18,clear sky,37.025,36.6306,İslahiye Sabanci Teachers
681,Gizo,SB,80.85,overcast clouds,-8.103,156.8419,Imagination Island
683,Faya,SA,72.12,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
686,Nieuw Nickerie,SR,80.47,moderate rain,5.95,-56.9833,Ishwardat Inn
689,Bhakkar,PK,88.61,broken clouds,31.6253,71.0657,Gorcha Nashaib
690,Marrakesh,MA,75.27,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
692,Pontes E Lacerda,BR,81.5,few clouds,-15.2261,-59.3353,Hotel Bressan
695,Bruntal,CZ,71.91,overcast clouds,49.9884,17.4647,Hotel Slezan
698,Pasvalys,LT,72.72,clear sky,56.0594,24.4036,Camping & Camper place Pasvalys
700,Kushima,JP,72.18,overcast clouds,31.4583,131.2333,Hanaoka
701,Socastee,US,88.25,few clouds,33.6835,-78.9984,Super 8 by Wyndham Myrtle Beach/Market Common Area
704,Nawashahr,IN,84.0,few clouds,31.1167,76.1333,Hotel Janpath
705,Buala,SB,81.0,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
706,Lixourion,GR,72.01,clear sky,38.2019,20.4314,Hotel Summery
711,Wattegama,LK,74.5,clear sky,6.7989,81.4808,
715,Vazante,BR,74.28,broken clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
719,Glace Bay,CA,76.8,broken clouds,46.1969,-59.957,Cedarwoods Bed & Breakfast
720,Saint-Louis,SN,88.84,broken clouds,16.3333,-15.0,
721,Pereira Barreto,BR,70.41,broken clouds,-20.6383,-51.1092,Hotel Pousada Pantal
722,Morgan City,US,84.06,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
