City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
206,Mar Del Plata,AR,2021-06-20 20:59:22,-38.0023,-57.5575,55.42,65,75,3.0,broken clouds
207,Tazovskiy,RU,2021-06-20 21:02:06,67.4667,78.7,41.4,73,100,10.47,overcast clouds
208,Liuli,TZ,2021-06-20 21:02:07,-11.0833,34.6333,69.87,62,4,7.74,clear sky
209,Mpika,ZM,2021-06-20 21:02:07,-11.8343,31.4529,53.4,69,2,7.45,clear sky
210,Isla Vista,US,2021-06-20 21:02:07,34.4133,-119.861,96.12,72,75,9.22,broken clouds
211,Skjervoy,NO,2021-06-20 21:02:08,70.0311,20.9714,48.2,81,20,3.98,few clouds
212,Kavieng,PG,2021-06-20 21:02:08,-2.5744,150.7967,82.15,75,99,12.66,overcast clouds
213,Nikolskoye,RU,2021-06-20 21:02:08,59.7035,30.7861,75.09,70,0,4.16,clear sky
214,Majene,ID,2021-06-20 21:02:09,-3.5403,118.9707,76.05,88,100,4.12,light rain
215,Ust-Tsilma,RU,2021-06-20 21:02:09,65.441,52.1498,48.92,64,93,6.02,overcast clouds
216,Riyadh,SA,2021-06-20 21:00:11,24.6877,46.7219,88.59,8,0,8.32,clear sky
217,Biggar,GB,2021-06-20 20:59:48,55.6167,-3.5167,56.73,95,89,3.2,overcast clouds
218,Bonthe,SL,2021-06-20 21:02:10,7.5264,-12.505,76.84,90,100,14.99,moderate rain
219,Sisimiut,GL,2021-06-20 21:02:10,66.9395,-53.6735,37.74,79,79,2.44,broken clouds
220,Cidreira,BR,2021-06-20 21:02:10,-30.1811,-50.2056,59.4,91,74,3.2,broken clouds
221,Danes,RO,2021-06-20 21:02:11,46.2167,24.7,63.66,92,100,1.74,overcast clouds
222,Oistins,BB,2021-06-20 21:02:11,13.0667,-59.5333,81.3,73,13,16.62,few clouds
223,Prince Rupert,CA,2021-06-20 21:02:12,54.3161,-130.3201,61.27,73,100,4.21,overcast clouds
224,Hopfgarten,DE,2021-06-20 21:02:12,50.9833,11.2667,73.08,77,100,4.7,overcast clouds
225,Ialibu,PG,2021-06-20 21:02:12,-6.2821,143.9935,54.19,95,77,2.19,broken clouds
226,Wanxian,CN,2021-06-20 21:02:13,30.8039,108.3897,70.7,81,99,2.35,overcast clouds
227,Sorong,ID,2021-06-20 21:02:13,-0.8833,131.25,79.07,85,100,8.52,overcast clouds
228,Praia Da Vitoria,PT,2021-06-20 21:02:13,38.7333,-27.0667,66.76,73,7,12.33,clear sky
229,Iqaluit,CA,2021-06-20 21:02:14,63.7506,-68.5145,38.7,73,100,11.99,overcast clouds
230,Griffith,US,2021-06-20 21:02:14,41.5284,-87.4237,84.81,69,1,4.61,clear sky
231,Cockburn Town,TC,2021-06-20 21:01:35,21.4612,-71.1419,81.01,87,57,19.17,broken clouds
232,Sakakah,SA,2021-06-20 21:02:14,29.9697,40.2064,88.5,12,0,9.01,clear sky
233,Samarai,PG,2021-06-20 21:02:15,-10.6167,150.6667,78.67,85,44,13.94,scattered clouds
234,Kalmunai,LK,2021-06-20 21:02:15,7.4167,81.8167,80.02,78,18,2.19,few clouds
235,Starkville,US,2021-06-20 21:01:51,33.4504,-88.8184,90.91,57,1,5.75,clear sky
236,Saint-Philippe,RE,2021-06-20 21:02:15,-21.3585,55.7679,69.35,68,96,13.15,overcast clouds
237,Makum,IN,2021-06-20 21:02:16,27.5,95.45,75.04,98,71,2.21,broken clouds
238,Kostomuksha,RU,2021-06-20 21:02:16,64.571,30.5767,60.03,96,82,4.9,broken clouds
239,George Town,MY,2021-06-20 21:01:14,5.4112,100.3354,78.89,86,20,3.44,few clouds
240,Nusaybin,TR,2021-06-20 21:00:20,37.0778,41.2178,80.29,24,0,6.44,clear sky
241,Police,PL,2021-06-20 21:02:17,53.5521,14.5718,73.8,82,70,1.01,broken clouds
242,Chokurdakh,RU,2021-06-20 21:02:17,70.6333,147.9167,60.15,46,2,10.16,clear sky
243,Mount Gambier,AU,2021-06-20 21:02:17,-37.8333,140.7667,40.5,94,0,4.76,clear sky
244,Yuancheng,CN,2021-06-20 21:02:18,36.652,107.7896,68.14,40,73,1.83,broken clouds
245,Scottsboro,US,2021-06-20 21:02:18,34.6723,-86.0341,90.86,58,75,8.05,broken clouds
246,Beringovskiy,RU,2021-06-20 21:02:18,63.05,179.3167,42.51,82,100,5.32,overcast clouds
247,Marzuq,YE,2021-06-20 21:02:19,14.4,46.4667,78.19,44,98,4.97,overcast clouds
248,Fairview,US,2021-06-20 21:00:12,40.8126,-73.999,90.61,57,1,0.0,clear sky
249,Yelizovo,RU,2021-06-20 21:02:19,53.1873,158.3805,51.94,62,75,15.66,broken clouds
250,Yumen,CN,2021-06-20 21:02:19,40.2833,97.2,70.59,21,2,8.57,clear sky
251,Paciran,ID,2021-06-20 21:02:20,-6.8767,112.3761,76.78,82,88,5.48,overcast clouds
252,Kyzyl-Suu,KG,2021-06-20 21:02:20,42.3414,78.0056,51.48,50,0,7.67,clear sky
253,Merke,KZ,2021-06-20 21:02:20,42.8728,73.1786,57.63,41,19,3.96,few clouds
254,Tanout,NE,2021-06-20 21:02:21,14.9709,8.8879,89.31,36,95,6.11,overcast clouds
255,Kavaratti,IN,2021-06-20 21:02:21,10.5669,72.642,82.72,75,83,19.66,broken clouds
256,Yanji,CN,2021-06-20 21:02:21,42.9075,129.5078,54.03,98,100,3.2,overcast clouds
257,Japura,ID,2021-06-20 21:02:22,-0.3167,102.35,72.55,89,89,1.86,overcast clouds
258,Catuday,PH,2021-06-20 21:02:22,16.2923,119.8062,81.7,79,100,13.38,overcast clouds
259,Leningradskiy,RU,2021-06-20 21:02:22,69.3833,178.4167,44.11,79,23,9.82,few clouds
